Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC
2023-04-19 07:10:05.669701-07:00,0.0,3.45,1.94,2.85,-0.13,16.71,887.15,52.03,25.0,0.0,-0.000696609,0.000472092,0.00278551,32.6911159,-103.075253,1155.37341,-25.5573686,0.533918142,1.04556597,,,,,,,,,,,,,,2023-04-19 14:10:05.669701+00:00
2023-04-19 07:10:05.863445-07:00,0.193744,3.11,1.64,2.61,-0.42,16.75,887.17,51.88,19.0,0.0,0.000197063,-0.000212286,0.00245158,32.6911159,-103.075253,1155.37012,-25.5440015,0.53383962,1.04081906,,,,,,,,,,,,,,2023-04-19 14:10:05.863445+00:00
2023-04-19 07:10:06.062895-07:00,0.393194,3.47,1.48,3.1,-0.45,16.74,887.16,52.38,18.0,0.0,-0.000172314,-0.000358939,0.00120992,32.6911158,-103.075253,1155.36206,-25.5272825,0.530636213,1.04603755,2.17984,57.6695,15647.8,23.3845,11888.0,-0.296743,-1.0,13.0,-1200.0,81.0,,0.0,,2023-04-19 14:10:06.062895+00:00
2023-04-19 07:10:06.263440-07:00,0.593739,3.08,2.34,1.98,-0.31,16.67,887.18,52.2,26.0,0.0,-0.000327955,-0.000391357,0.00140688,32.6911158,-103.075253,1155.36426,-25.5150885,0.533830311,1.03533736,,,,,,,,,,,,,,2023-04-19 14:10:06.263440+00:00
2023-04-19 07:10:06.463066-07:00,0.793365,3.06,2.26,2.05,-0.26,16.42,887.14,53.02,19.0,0.0,-0.000380386,-0.000201307,0.00157331,32.6911158,-103.075253,1155.35181,-25.4985671,0.535936559,1.0464913,,,,,,,,,,,,,,2023-04-19 14:10:06.463066+00:00
2023-04-19 07:10:06.663439-07:00,0.993738,3.57,2.97,1.98,-0.15,16.84,887.15,51.69,19.0,0.0,8.75544e-05,-0.00105631,-2.30609e-05,32.6911158,-103.075253,1155.35156,-25.4812609,0.535857224,1.03738952,,,,,,,,,,,,,,2023-04-19 14:10:06.663439+00:00
2023-04-19 07:10:06.863694-07:00,1.193993,2.85,2.32,1.66,0.02,16.87,887.15,51.52,26.0,0.0,-0.000710071,0.000608868,-0.000485844,32.6911158,-103.075253,1155.34326,-25.4646303,0.537601928,1.04594682,,,,,,,,,,,,,,2023-04-19 14:10:06.863694+00:00
2023-04-19 07:10:07.063132-07:00,1.393431,2.57,0.86,2.4,-0.32,16.97,887.16,51.2,18.0,0.0,6.89828e-05,-0.00108666,0.000204555,32.6911157,-103.075253,1155.34155,-25.4485843,0.536543226,1.03887533,2.17982,56.5598,15659.3,23.3933,11826.0,-0.302561,-1.0,14.0,-1175.0,81.0,,0.0,,2023-04-19 14:10:07.063132+00:00
2023-04-19 07:10:07.263198-07:00,1.593497,2.22,0.99,1.96,-0.37,17.12,887.18,50.67,19.0,0.0,-0.000166402,-0.000186432,0.00198879,32.6911157,-103.075253,1155.34326,-25.4343828,0.536017376,1.04290997,,,,,,,,,,,,,,2023-04-19 14:10:07.263198+00:00
2023-04-19 07:10:07.462883-07:00,1.793182,1.87,0.2,1.86,-0.0,17.44,887.18,50.11,26.0,0.0,0.0005866,-0.00160972,0.00206732,32.6911157,-103.075253,1155.33984,-25.4204674,0.537110954,1.04517872,,,,,,,,,,,,,,2023-04-19 14:10:07.462883+00:00
2023-04-19 07:10:07.663817-07:00,1.994116,2.38,0.98,2.16,0.18,17.28,887.18,50.21,18.0,0.0,-0.000218101,0.000469151,0.00127599,32.6911156,-103.075253,1155.3396,-25.4071469,0.537444077,1.03140584,,,,,,,,,,,,,,2023-04-19 14:10:07.663817+00:00
2023-04-19 07:10:07.863580-07:00,2.193879,2.23,1.4,1.73,0.19,17.0,887.19,51.04,20.0,0.0,0.000412152,-0.00102192,0.00234399,32.6911156,-103.075253,1155.34814,-25.3949529,0.537359242,1.0485756,,,,,,,,,,,,,,2023-04-19 14:10:07.863580+00:00
2023-04-19 07:10:08.063401-07:00,2.3937,3.12,1.27,2.82,-0.41,16.8,887.17,51.81,23.0,0.0,7.93245e-05,-0.000680574,0.00323999,32.6911155,-103.075253,1155.35437,-25.3803301,0.537200056,1.03711755,2.18068,56.6228,15645.4,23.4009,11895.0,-0.223925,-1.0,14.0,-1181.0,81.0,,0.0,,2023-04-19 14:10:08.063401+00:00
2023-04-19 07:10:08.263687-07:00,2.593986,3.18,1.08,2.97,-0.38,16.54,887.17,52.68,18.0,0.0,-0.000162316,-0.000424716,0.00327725,32.6911155,-103.075253,1155.35181,-25.3691604,0.538490421,1.04219941,,,,,,,,,,,,,,2023-04-19 14:10:08.263687+00:00
2023-04-19 07:10:08.463080-07:00,2.793379,3.45,0.98,3.28,-0.42,16.3,887.15,53.49,22.0,0.0,9.97051e-05,-0.00111603,0.00239899,32.6911154,-103.075253,1155.35583,-25.3563309,0.540343589,1.03515878,,,,,,,,,,,,,,2023-04-19 14:10:08.463080+00:00
2023-04-19 07:10:08.663463-07:00,2.993762,3.27,0.83,3.13,-0.52,16.29,887.14,53.47,23.0,0.0,-0.000656809,-0.000377213,0.00343112,32.6911154,-103.075253,1155.36072,-25.3414484,0.540036796,1.03748164,,,,,,,,,,,,,,2023-04-19 14:10:08.663463+00:00
2023-04-19 07:10:08.863404-07:00,3.193703,3.79,1.53,3.44,-0.45,16.67,887.13,52.17,17.0,0.0,-0.000212908,-0.00162247,0.00203308,32.6911154,-103.075253,1155.35815,-25.3273561,0.540395311,1.03681452,,,,,,,,,,,,,,2023-04-19 14:10:08.863404+00:00
2023-04-19 07:10:09.063828-07:00,3.394127,3.42,1.93,2.82,-0.22,16.6,887.13,52.48,23.0,0.0,-0.000224074,-8.56494e-05,0.00256411,32.6911153,-103.075253,1155.37256,-25.311894,0.538982574,1.03195522,2.17741,57.2258,15656.8,23.4099,11864.0,-0.265911,-1.0,11.0,-1194.0,81.0,,0.0,,2023-04-19 14:10:09.063828+00:00
2023-04-19 07:10:09.262963-07:00,3.593262,3.42,1.54,3.03,-0.4,16.59,887.14,52.51,22.0,0.0,1.80377e-06,-0.000921692,0.00394556,32.6911153,-103.075253,1155.3761,-25.2970957,0.538439199,1.04441308,,,,,,,,,,,,,,2023-04-19 14:10:09.262963+00:00
2023-04-19 07:10:09.463730-07:00,3.794029,3.11,1.89,2.47,-0.16,16.66,887.14,52.21,18.0,0.0,-0.000531318,-4.05501e-05,0.00454436,32.6911153,-103.075253,1155.39258,-25.2838891,0.539334742,1.03952837,,,,,,,,,,,,,,2023-04-19 14:10:09.463730+00:00
2023-04-19 07:10:09.663244-07:00,3.993543,3.27,1.22,2.99,-0.51,16.48,887.16,52.82,24.0,0.0,-0.000464447,-0.000276577,0.00291717,32.6911152,-103.075253,1155.38464,-25.2735042,0.53829898,1.04942439,,,,,,,,,,,,,,2023-04-19 14:10:09.663244+00:00
2023-04-19 07:10:09.863529-07:00,4.193828,2.81,0.7,2.68,-0.46,16.69,887.18,52.12,22.0,0.0,-0.000231628,-0.000580717,0.000437426,32.6911152,-103.075253,1155.36755,-25.2612134,0.536641353,1.0499234,,,,,,,,,,,,,,2023-04-19 14:10:09.863529+00:00
2023-04-19 07:10:10.063687-07:00,4.393986,2.0,-0.17,1.99,-0.03,17.28,887.2,50.2,18.0,0.0,-0.000351638,-0.000272468,-0.00180468,32.6911152,-103.075253,1155.34692,-25.246482,0.536311878,1.05642993,2.17783,57.4003,15620.1,23.4181,11834.0,-0.353157,-1.0,14.0,-1170.0,81.0,,0.0,,2023-04-19 14:10:10.063687+00:00
2023-04-19 07:10:10.262968-07:00,4.593267,1.74,0.58,1.64,0.14,17.4,887.21,49.86,25.0,0.0,0.000102956,-0.000254059,-0.00308954,32.6911151,-103.075253,1155.32312,-25.233001,0.536049606,1.05006195,,,,,,,,,,,,,,2023-04-19 14:10:10.262968+00:00
2023-04-19 07:10:10.463774-07:00,4.794073,3.15,0.29,3.13,-0.2,16.57,887.18,52.51,20.0,0.0,-3.92267e-05,-0.000206994,-0.00269807,32.6911151,-103.075253,1155.31104,-25.2205843,0.535229432,1.04945214,,,,,,,,,,,,,,2023-04-19 14:10:10.463774+00:00
2023-04-19 07:10:10.663462-07:00,4.993761,3.17,0.32,3.16,0.08,16.54,887.15,52.56,18.0,0.0,9.6368e-05,-0.000475028,-2.58054e-05,32.6911151,-103.075253,1155.29443,-25.2024798,0.531778175,1.04736923,,,,,,,,,,,,,,2023-04-19 14:10:10.663462+00:00
2023-04-19 07:10:10.863653-07:00,5.193952,3.36,0.4,3.29,-0.53,16.24,887.15,53.63,25.0,0.0,-0.000500628,-0.000298214,0.00172601,32.691115,-103.075253,1155.29053,-25.1918557,0.531811623,1.03902135,,,,,,,,,,,,,,2023-04-19 14:10:10.863653+00:00
2023-04-19 07:10:11.064365-07:00,5.394664,3.87,0.93,3.74,-0.36,16.51,887.11,52.73,19.0,0.0,-0.000511445,-0.000455801,0.00238436,32.691115,-103.075253,1155.27991,-25.1754121,0.533390589,1.04508564,2.17933,56.9402,15595.3,23.4266,11896.0,-0.396804,-1.0,13.0,-1180.0,81.0,,0.0,,2023-04-19 14:10:11.064365+00:00
2023-04-19 07:10:11.263223-07:00,5.593522,3.97,0.37,3.95,-0.1,16.86,887.11,51.57,19.0,0.0,-1.09411e-05,-0.00106111,0.00394347,32.6911149,-103.075253,1155.28174,-25.1609246,0.530936935,1.03284927,,,,,,,,,,,,,,2023-04-19 14:10:11.263223+00:00
2023-04-19 07:10:11.463783-07:00,5.794082,4.3,1.19,4.13,0.01,16.45,887.11,53.03,27.0,0.0,-0.000888455,0.000578719,0.00609122,32.6911149,-103.075254,1155.28186,-25.1480938,0.536212002,1.05318088,,,,,,,,,,,,,,2023-04-19 14:10:11.463783+00:00
2023-04-19 07:10:11.663280-07:00,5.993579,3.55,0.39,3.51,-0.43,16.34,887.14,53.34,19.0,0.0,1.09652e-05,-0.00166686,0.00773821,32.6911148,-103.075254,1155.29297,-25.1289811,0.535490539,1.0393626,,,,,,,,,,,,,,2023-04-19 14:10:11.663280+00:00
2023-04-19 07:10:11.863241-07:00,6.19354,2.21,-0.07,2.2,-0.17,16.7,887.15,52.14,20.0,0.0,-0.000648882,0.00130689,0.00933546,32.6911148,-103.075254,1155.30603,-25.1187536,0.536380711,1.04869109,,,,,,,,,,,,,,2023-04-19 14:10:11.863241+00:00
2023-04-19 07:10:12.064520-07:00,6.394819,2.84,1.9,2.11,-0.19,16.59,887.15,52.51,26.0,0.0,0.000722681,-0.00144156,0.00880438,32.6911147,-103.075254,1155.3136,-25.1055365,0.540299627,1.06105177,2.17918,56.6523,15582.4,23.4346,11850.0,-0.426943,-1.0,12.0,-1190.0,81.0,,0.0,,2023-04-19 14:10:12.064520+00:00
2023-04-19 07:10:12.262990-07:00,6.593289,2.82,1.18,2.53,-0.39,16.52,887.15,52.8,18.0,0.0,-0.000501542,0.00025937,0.00714162,32.6911147,-103.075254,1155.30945,-25.0932771,0.5399392,1.04003527,,,,,,,,,,,,,,2023-04-19 14:10:12.262990+00:00
2023-04-19 07:10:12.463378-07:00,6.793677,2.93,1.55,2.49,-0.1,16.67,887.16,52.17,20.0,0.0,0.000408492,-0.000279276,0.00558654,32.6911146,-103.075254,1155.31311,-25.0796224,0.541502607,1.06131083,,,,,,,,,,,,,,2023-04-19 14:10:12.463378+00:00
2023-04-19 07:10:12.662930-07:00,6.993229,3.27,0.62,3.2,-0.26,16.57,887.12,52.51,26.0,0.0,0.000860367,-0.00146482,0.0068942,32.6911145,-103.075254,1155.32996,-25.0679414,0.539816866,1.04347089,,,,,,,,,,,,,,2023-04-19 14:10:12.662930+00:00
2023-04-19 07:10:12.863853-07:00,7.194152,3.04,-0.07,3.03,-0.21,16.62,887.13,52.39,18.0,0.0,-0.000140445,-0.000484355,0.00809522,32.6911145,-103.075254,1155.34595,-25.0551752,0.541929634,1.04996247,,,,,,,,,,,,,,2023-04-19 14:10:12.863853+00:00
2023-04-19 07:10:13.064534-07:00,7.394833,2.07,0.27,2.05,-0.09,16.8,887.17,51.8,20.0,0.0,0.000147017,-0.0010913,0.00680832,32.6911144,-103.075254,1155.34827,-25.0429574,0.539865866,1.05291136,2.18132,57.7858,15553.8,23.4425,11854.0,-0.406822,-1.0,14.0,-1162.0,81.0,,0.0,,2023-04-19 14:10:13.064534+00:00
2023-04-19 07:10:13.263396-07:00,7.593695,2.47,1.64,1.84,0.13,17.05,887.18,50.93,25.0,0.0,-0.000591932,-8.30251e-05,0.00485126,32.6911143,-103.075254,1155.3457,-25.0291964,0.537300228,1.05319038,,,,,,,,,,,,,,2023-04-19 14:10:13.263396+00:00
2023-04-19 07:10:13.463392-07:00,7.793691,2.84,1.44,2.43,-0.24,16.78,887.17,51.93,17.0,0.0,-7.84241e-05,-0.000629285,0.00211856,32.6911143,-103.075254,1155.33496,-25.0152772,0.536604205,1.0569282,,,,,,,,,,,,,,2023-04-19 14:10:13.463392+00:00
2023-04-19 07:10:13.663093-07:00,7.993392,2.98,0.36,2.95,-0.27,16.92,887.18,51.41,21.0,0.0,-0.000399351,-0.000455334,0.00228411,32.6911142,-103.075254,1155.34009,-24.9992635,0.538717559,1.04650176,,,,,,,,,,,,,,2023-04-19 14:10:13.663093+00:00
2023-04-19 07:10:13.863073-07:00,8.193372,2.95,0.64,2.88,-0.22,16.99,887.17,51.24,24.0,0.0,-0.000442565,-7.373e-05,0.00415747,32.6911142,-103.075254,1155.34216,-24.9891446,0.537122392,1.04779587,,,,,,,,,,,,,,2023-04-19 14:10:13.863073+00:00
